Claim account

!| Vm 2335 Claim account |
| user | account claim required | email required | email | email confirmation | password | password confirmation | security question one | security answer one | security question two | security answer two | pin | result? | error message? |
| tester1 | true | true | | | | | Who was your first kiss? | | Who was your childhood hero? | | 123456 | errors | |
| tester1 | true | true | tester1@claim.account | | Password1 | | Who was your first kiss? | tes ter1 | Who was your childhood hero? | tes ter1 | 123 | errors | |
| tester1 | true | true | | tester1@claim.account.com | | Password1 | Who was your first kiss? | t e s t  e r 1 | Who was your childhood hero? | t e s t  e r 1 | 123456 | errors | |
| tester1 | true | true | tester1@claim.account | tester1@ | Password1 | Passw | Who was your first kiss? | TESTER1 | Who was your childhood hero? | TESTER1 | 123456 | errors | |
| tester1 | true | true | tester1.account | tester1@claim.account | passw | Password1 | Who was your first kiss? | t | Who was your childhood hero? | t | 123456 | errors | |
| tester1 | true | true | tester1@claim.account | tester1@claim.account | NewCLP123 | NewCLP123 | Fake question ? | 44 | Who was your childhood hero? | 44 | 123456 | errors | |
| tester1 | true | true | tester1@claim.account | tester1@claim.account | NewCLP123 | NewCLP123 | Who was your first kiss? | 44 | Fake question              ? | 44 | 123456 | errors | |
| tester1 | true | true | tester1@claim.account | tester1@claim.account | NewCLP123 | NewCLP123 | Who was your first kiss? | 44 | Who was your childhood hero? | 44 | 123456 | Updated account | |
| tester2 | false | true | tester2@claim.account | tester2@claim.account | NewCLP321 | NewCLP321 | Who was your first kiss? | tester2 | Who was your childhood hero? | tester1 | 123456 | Forbidden | |
| tester3 | true | false | tester1@claim.account | tester1@claim.account | NewCLP123 | NewCLP123 | Who was your first kiss? | noname | Who was your childhood hero? | John | 123456 | Updated account | |
| tester4 | true | false | | | NewCLP123 | NewCLP123 | Who was your first kiss? | unknown | Who was your childhood hero? | Rambo | 123456 | Updated account | |
| tester5 | true | true | | | NewCLP123 | NewCLP123 | Who was your first kiss? | unknown | Who was your childhood hero? | Rambo | 123456 | errors | |
| tester6 | true | true | tester6@wrongemail | tester6@wrongemail | NewCLP123 | NewCLP123 | Who was your first kiss? | 44 | Who was your childhood hero? | 44 | 123456 | errors | |
